Facility_ID,Name_EN,Name_Bn,Code,Email,Agency,Facility_Type_ID,Facility_Type,Division_ID,Division_En,Division_Bn,District_ID,District_EN,District_Bn,Upazila_ID,Upazila_En,Upazila_Bn,City Corporation,City Corporation Bn,Paurasava_En,Union_En
37,Jhigatala Urban Dispensary,ঝিগাতলা আরবান ডিসপেনসারি,10000041,jhigatala@ud.dghs.gov.bd,DGHS,40,Urban Dispensary,1,Dhaka,ঢাকা,1,Dhaka,ঢাকা,0,Dhanmondi,ধানমন্ডি,Dhaka South City Corporation,ঢাকা দক্ষিণ সিটি করপোরেশন,,
1925,Kukua 10 bed Hospital,খোকোয়া ১০ শয্যা বিশিষ্ট হাসপাতাল,10001934,kukua@10bed.dghs.gov.bd,DGHS,27,10-bed Hospital,6,Barishal,বরিশাল,55,Barguna,বরগুনা,1,Amtali,আমতলি,Barguna N/A,বরগুনা এন/এ,Unions Of Amtali Upazila,Kukua
1924,Amtali Upazila Health Complex,আমতলী উপজেলা স্বাস্থ্য কমপ্লেক্স,10001933,amtali@uhfpo.dghs.gov.bd,DGHS,29,Upazila Health Complex,6,Barishal,বরিশাল,55,Barguna,বরগুনা,1,Amtali,আমতলি,Barguna N/A,বরগুনা এন/এ,Amtali Paurasava,Urban Ward No-07
1923,Gulishakhali Union Health Sub Center,গুলিশাখালী) ইউনিয়ন উপ-স্বাস্থ্য কেন্দ্র,10001932,gulishakhali@usc.dghs.gov.bd,DGHS,38,Union Health Sub Center,6,Barishal,বরিশাল,55,Barguna,বরগুনা,1,Amtali,আমতলি,Barguna N/A,বরগুনা এন/এ,Unions Of Amtali Upazila,Gulisakhali
13025,Gazipur Union Health Sub Center,গাজীপুর  উপস্বাস্থ্য কেন্দ্র,10013125,gazipuramtali@usc.dghs.gov.bd,DGHS,38,Union Health Sub Center,6,Barishal,বরিশাল,55,Barguna,বরগুনা,1,Amtali,আমতলি,Barguna N/A,বরগুনা এন/এ,Unions Of Amtali Upazila,Atharagashia
1927,Taltali Union Health Sub Center,তালতলী ইউনিয়ন উপ-স্বাস্থ্য কেন্দ্র,10001936,taltali@usc.dghs.gov.bd,DGHS,38,Union Health Sub Center,6,Barishal,বরিশাল,55,Barguna,বরগুনা,1,Taltali,তালতলি,Barguna N/A,বরগুনা এন/এ,,
1928,Bamna Upazila Health Complex,বামনা উপজেলা স্বাস্থ্য কমপ্লেক্স,10001937,bamna@uhfpo.dghs.gov.bd,DGHS,29,Upazila Health Complex,6,Barishal,বরিশাল,55,Barguna,বরগুনা,2,Bamna,বামনা,Barguna N/A,বরগুনা এন/এ,Unions Of Bamna Upazila,Bamna
1934,Barguna 250 bed General Hospital,বরগুনা ২৫০ বেড জেনারেল হাসপাতাল,10001943,barguna@hospi.dghs.gov.bd,DGHS,28,District/General Hospital,6,Barishal,বরিশাল,55,Barguna,বরগুনা,3,Barguna Sadar,বরগুনা সদর,Barguna N/A,বরগুনা এন/এ,,
1929,Aylapatakata Union Health Sub Center,আয়লা পাতাকাটা উপ-স্বাস্থ্য কেন্দ্র,10001938,aylapatakata@usc.dghs.gov.bd,DGHS,38,Union Health Sub Center,6,Barishal,বরিশাল,55,Barguna,বরগুনা,3,Barguna Sadar,বরগুনা সদর,Barguna N/A,বরগুনা এন/এ,Unions Of Barguna Sadar Upazila,Ayla Patakata
1930,Fuljhuri Union Health Sub Center,ফুলঝুরি ইউনিয়ন উপ-স্বাস্থ্য কেন্দ্র,10001939,,DGHS,38,Union Health Sub Center,6,Barishal,বরিশাল,55,Barguna,বরগুনা,3,Barguna Sadar,বরগুনা সদর,Barguna N/A,বরগুনা এন/এ,Unions Of Barguna Sadar Upazila,Phuljhury
1931,Nalihat(dhula) Union Health Sub Center,নলী হাট (ঢলুয়া)ইউনিয়ন উপ-স্বাস্থ্য কেন্দ্র,10001940,nalihat_dhula@usc.dghs.gov.bd,DGHS,38,Union Health Sub Center,6,Barishal,বরিশাল,55,Barguna,বরগুনা,3,Barguna Sadar,বরগুনা সদর,Barguna N/A,বরগুনা এন/এ,Unions Of Barguna Sadar Upazila,Dhalua
1936,Betagi Upazila Health Complex,বেতাগী উপজেলা স্বাস্থ্য কমপ্লেক্স,10001945,betagi@uhfpo.dghs.gov.bd,DGHS,29,Upazila Health Complex,6,Barishal,বরিশাল,55,Barguna,বরগুনা,4,Betagi,বেতাগি,Barguna N/A,বরগুনা এন/এ,Betagi Paurasava,Urban Ward No-08
