Id,Division Bn,District Bn,Upazila Bn,Name (Bangla)
1925,বরিশাল,বরগুনা,আমটালি,খোকোয়া ১০ শয্যা বিশিষ্ট হাসপাতাল
1924,বরিশাল,বরগুনা,আমটালি,আমতলী উপজেলা স্বাস্থ্য কমপ্লেক্স
1923,বরিশাল,বরগুনা,আমটালি,গুলিশাখালী) ইউনিয়ন উপ-স্বাস্থ্য কেন্দ্র
13025,বরিশাল,বরগুনা,আমটালি,গাজীপুর  উপস্বাস্থ্য কেন্দ্র
1928,বরিশাল,বরগুনা,বামনা,বামনা উপজেলা স্বাস্থ্য কমপ্লেক্স
1934,বরিশাল,বরগুনা,বরগুনা সদর,বরগুনা ২৫০ বেড জেনারেল হাসপাতাল
1929,বরিশাল,বরগুনা,বরগুনা সদর,আয়লা পাতাকাটা উপ-স্বাস্থ্য কেন্দ্র
1930,বরিশাল,বরগুনা,বরগুনা সদর,ফুলঝুরি ইউনিয়ন উপ-স্বাস্থ্য কেন্দ্র
1931,বরিশাল,বরগুনা,বরগুনা সদর,নলী হাট (ঢলুয়া)ইউনিয়ন উপ-স্বাস্থ্য কেন্দ্র
1936,বরিশাল,বরগুনা,বেতাগি,বেতাগী উপজেলা স্বাস্থ্য কমপ্লেক্স
1935,বরিশাল,বরগুনা,বেতাগি,কাউনিয়া(বুড়া মজুমদার) ইউনিয়ন উপ-স্বাস্থ্য কেন্দ্র
1938,বরিশাল,বরগুনা,পাথরঘাটা,পাথরঘাটা উপজেলা স্বাস্থ্য কমপ্লেক্স
1937,বরিশাল,বরগুনা,পাথরঘাটা,কালমেঘা ইউনিয়ন উপ-স্বাস্থ্য কেন্দ্র
1927,বরিশাল,বরগুনা,তালতালি,তালতলী ইউনিয়ন উপ-স্বাস্থ্য কেন্দ্র
1968,বরিশাল,বরিশাল,বরিশাল সদর,শের-ই-বাংলা মেডিকেল কলেজ
1969,বরিশাল,বরিশাল,বরিশাল সদর,শের-ই-বাংলা মেডিকেল কলেজ হাসপাতাল
16770,বরিশাল,বরিশাল,বরিশাল সদর,বরিশাল ইনস্টিটিউট অফ হেলথ টেকনোলজি
1963,বরিশাল,বরিশাল,বরিশাল সদর,বরিশাল জেনারেল হাসপাতাল
1967,বরিশাল,বরিশাল,বরিশাল সদর,বরিশাল বক্ষব্যাধি হাসপাতাল
1961,বরিশাল,বরিশাল,বরিশাল সদর,সায়েস্তাবাদ ইউনিয়ন উপ-স্বাস্থ্য কেন্দ্র
1966,বরিশাল,বরিশাল,বরিশাল সদর,বরিশাল বক্ষব্যাধি ক্লিনিক
1939,বরিশাল,বরিশাল,আগৈলঝারা,আগৈলঝাড়া উপজেলা স্বাস্থ্য কমপ্লেক্স
1940,বরিশাল,বরিশাল,আগৈলঝারা,পয়সারহাট(বাকল) ইউনিয়ন উপ-স্বাস্থ্য কেন্দ্র
1941,বরিশাল,বরিশাল,আগৈলঝারা,রত্নাপুর ইউনিয়ন উপ-স্বাস্থ্য কেন্দ্র
1946,বরিশাল,বরিশাল,বাবুগঞ্জ,বাবুগঞ্জ উপজেলা স্বাস্থ্য কমপ্লেক্স
1942,বরিশাল,বরিশাল,বাবুগঞ্জ,আগরপুর ইউনিয়ন উপ-স্বাস্থ্য কেন্দ্র
1943,বরিশাল,বরিশাল,বাবুগঞ্জ,দেহেরগাতি ইউনিয়ন উপ-স্বাস্থ্য কেন্দ্র
1944,বরিশাল,বরিশাল,বাবুগঞ্জ,মাধবপাশা ইউনিয়ন উপ-স্বাস্থ্য কেন্দ্র
1945,বরিশাল,বরিশাল,বাবুগঞ্জ,মোহনগঞ্জ(চাঁদপাশা) ইউনিয়ন উপ-স্বাস্থ্য কেন্দ্র
23178,বরিশাল,বরিশাল,বাবুগঞ্জ,জাহাপুর ইউনিয়ন উপ-স্বাস্থ্য কেন্দ্র।
