Facility Name,Facility Name_Bn,District Name,Division Name,District Id,Division Id,Facility Code,Facility Id,Facilitytype Id,Upazila Id
Dhaka Dental College,ঢাকা ডেন্টাল কলেজ,Dhaka,Dhaka,1,1,10000027,25,6,166
Directorate General of Health Services (DGHS),স্বাস্থ্য অধিদপ্তর (ডিজিএইচএস),Dhaka,Dhaka,1,1,10000002,2,47,158
Shaheed Suhrawardy Medical College,শহীদ সোহরাওয়ার্দী মেডিকেল কলেজ,Dhaka,Dhaka,1,1,10000050,46,4,195
Faridpur Medical College,ফরিদপুর মেডিকেল কলেজ,Faridpur,Dhaka,2,1,10000107,103,4,208
Sheikh Sayera Khatun Medical College,শেখ সায়েরা খাতুন মেডিকেল কলেজ,Gopalganj,Dhaka,4,1,10002292,2237,4,218
"Dhaka Divisional Health Office, Dhaka","ঢাকা বিভাগীয় স্বাস্থ্য অফিস, ঢাকা",Dhaka,Dhaka,1,1,10000001,1,49,181
Sir Salimullah Medical College,স্যার সলিমুল্লাহ মেডিকেল কলেজ,Dhaka,Dhaka,1,1,10000055,51,4,178
National Institute Of Ophthalmology (NIO),ন্যাশনাল ইনস্টিটিউট অব অপথালমোলজি (এনআইও),Dhaka,Dhaka,1,1,10000011,11,2,195
Sir Salimullah Medical College Hospital,স্যার সলিমুল্লাহ মেডিকেল কলেজ হাসপাতাল,Dhaka,Dhaka,1,1,10000056,52,5,178
Dhaka Medical College Hospital,ঢাকা মেডিকেল কলেজ হাসপাতাল,Dhaka,Dhaka,1,1,10000033,31,5,193
Shaheed Suhrawardy Medical College Hospital,শহীদ সোহরাওয়ার্দী মেডিকেল কলেজ হাসপাতাল,Dhaka,Dhaka,1,1,10000051,47,5,195
Faridpur Medical College Hospital,ফরিদপুর মেডিকেল কলেজ হাসপাতাল,Faridpur,Dhaka,2,1,10000108,104,5,208
"Shaheed Tajuddin Ahmad Medical College Hospital, Gazipur","শহীদ তাজউদ্দীন আহমদ মেডিকেল কলেজ হাসপাতাল, গাজীপুর",Gazipur,Dhaka,3,1,10023251,22839,5,213
Shahid Syed Nazrul Islam Medical College Hospital,শহীদ সৈয়দ নজরুল ইসলাম মেডিকেল কলেজ হাসপাতাল,Kishorgonj,Dhaka,6,1,10024987,24575,5,237
Dhaka Dental College Hospital,ঢাকা ডেন্টাল কলেজ হাসপাতাল,Dhaka,Dhaka,1,1,10000028,26,7,166
