Id,Name,Name (Bangla),Code,Email,Agency,Type,Division,,District,,City Corporation,,Upazila,,Paurasava,Union,Private
1925,Kukua 10 bed Hospital,খোকোয়া ১০ শয্যা বিশিষ্ট হাসপাতাল,10001934,kukua@10bed.dghs.gov.bd,DGHS,10-bed Hospital,Barishal,বরিশাল,Barguna,বরগুনা,Barguna N/A,,Amtali,,Unions Of Amtali Upazila,Kukua,No
1924,Amtali Upazila Health Complex,আমতলী উপজেলা স্বাস্থ্য কমপ্লেক্স,10001933,amtali@uhfpo.dghs.gov.bd,DGHS,Upazila Health Complex,Barishal,বরিশাল,Barguna,বরগুনা,Barguna N/A,,Amtali,,Amtali Paurasava,Urban Ward No-07,No
1923,Gulishakhali Union Health Sub Center,গুলিশাখালী) ইউনিয়ন উপ-স্বাস্থ্য কেন্দ্র,10001932,gulishakhali@usc.dghs.gov.bd,DGHS,Union Health Sub Center,Barishal,বরিশাল,Barguna,বরগুনা,Barguna N/A,,Amtali,,Unions Of Amtali Upazila,Gulisakhali,No
13025,Gazipur Union Health Sub Center,গাজীপুর  উপস্বাস্থ্য কেন্দ্র,10013125,gazipuramtali@usc.dghs.gov.bd,DGHS,Union Health Sub Center,Barishal,বরিশাল,Barguna,বরগুনা,Barguna N/A,,Amtali,,Unions Of Amtali Upazila,Atharagashia,No
1928,Bamna Upazila Health Complex,বামনা উপজেলা স্বাস্থ্য কমপ্লেক্স,10001937,bamna@uhfpo.dghs.gov.bd,DGHS,Upazila Health Complex,Barishal,বরিশাল,Barguna,বরগুনা,Barguna N/A,,Bamna,,Unions Of Bamna Upazila,Bamna,No
1934,Barguna 250 bed General Hospital,বরগুনা ২৫০ বেড জেনারেল হাসপাতাল,10001943,barguna@hospi.dghs.gov.bd,DGHS,District/General Hospital,Barishal,বরিশাল,Barguna,বরগুনা,Barguna N/A,,Barguna Sadar,,,,No
1929,Aylapatakata Union Health Sub Center,আয়লা পাতাকাটা উপ-স্বাস্থ্য কেন্দ্র,10001938,aylapatakata@usc.dghs.gov.bd,DGHS,Union Health Sub Center,Barishal,বরিশাল,Barguna,বরগুনা,Barguna N/A,,Barguna Sadar,,Unions Of Barguna Sadar Upazila,Ayla Patakata,No
1930,Fuljhuri Union Health Sub Center,ফুলঝুরি ইউনিয়ন উপ-স্বাস্থ্য কেন্দ্র,10001939,,DGHS,Union Health Sub Center,Barishal,বরিশাল,Barguna,বরগুনা,Barguna N/A,,Barguna Sadar,,Unions Of Barguna Sadar Upazila,Phuljhury,No
1931,Nalihat(dhula) Union Health Sub Center,নলী হাট (ঢলুয়া)ইউনিয়ন উপ-স্বাস্থ্য কেন্দ্র,10001940,nalihat_dhula@usc.dghs.gov.bd,DGHS,Union Health Sub Center,Barishal,বরিশাল,Barguna,বরগুনা,Barguna N/A,,Barguna Sadar,,Unions Of Barguna Sadar Upazila,Dhalua,No
1936,Betagi Upazila Health Complex,বেতাগী উপজেলা স্বাস্থ্য কমপ্লেক্স,10001945,betagi@uhfpo.dghs.gov.bd,DGHS,Upazila Health Complex,Barishal,বরিশাল,Barguna,বরগুনা,Barguna N/A,,Betagi,,Betagi Paurasava,Urban Ward No-08,No
1935,Kownia (Bura Mazumder) Union Health Sub Center,কাউনিয়া(বুড়া মজুমদার) ইউনিয়ন উপ-স্বাস্থ্য কেন্দ্র,10001944,kownia_bibechini@usc.dghs.gov.bd,DGHS,Union Health Sub Center,Barishal,বরিশাল,Barguna,বরগুনা,Barguna N/A,,Betagi,,Unions Of Betagi Upazila,Bura Mazumdar,No
1938,Patharghata Upazila Health Complex,পাথরঘাটা উপজেলা স্বাস্থ্য কমপ্লেক্স,10001947,patharghata@uhfpo.dghs.gov.bd,DGHS,Upazila Health Complex,Barishal,বরিশাল,Barguna,বরগুনা,Barguna N/A,,Patharghata,,,,No
1937,Kalmegha Union Health Sub Center,কালমেঘা ইউনিয়ন উপ-স্বাস্থ্য কেন্দ্র,10001946,kalmegha@usc.dghs.gov.bd,DGHS,Union Health Sub Center,Barishal,বরিশাল,Barguna,বরগুনা,Barguna N/A,,Patharghata,,Unions Of Patharghata Upazila,Kalmegha,No
1927,Taltali Union Health Sub Center,তালতলী ইউনিয়ন উপ-স্বাস্থ্য কেন্দ্র,10001936,taltali@usc.dghs.gov.bd,DGHS,Union Health Sub Center,Barishal,বরিশাল,Barguna,বরগুনা,Barguna N/A,,Taltali,,,,No
1968,Sher-E-Bangla Medical College,শের-ই-বাংলা মেডিকেল কলেজ,10001977,sbmc@ac.dghs.gov.bd,DGHS,Medical College,Barishal,বরিশাল,Barishal,বরিশাল,Barishal City Corporation,,Barishal Sadar,,Barisal City Corp.,,No
1969,Sher-e-bangla Medical College Hospital,শের-ই-বাংলা মেডিকেল কলেজ হাসপাতাল,10001978,sbmch@hospi.dghs.gov.bd,DGHS,Medical College Hospital,Barishal,বরিশাল,Barishal,বরিশাল,Barishal City Corporation,,Barishal Sadar,,Barisal City Corp.,,No
16770,Barishal Institute of Health Technology,বরিশাল ইনস্টিটিউট অফ হেলথ টেকনোলজি,10017205,istb@ac.dghs.gov.bd,DGHS,Institute of Health Technology,Barishal,বরিশাল,Barishal,বরিশাল,Barishal City Corporation,,Barishal Sadar,,Barisal City Corp.,Urban Ward No-11,No
1963,Barisal General Hospital,বরিশাল জেনারেল হাসপাতাল,10001972,barisal@hospi.dghs.gov.bd,DGHS,District/General Hospital,Barishal,বরিশাল,Barishal,বরিশাল,Barishal City Corporation,,Barishal Sadar,,Barisal City Corp.,,No
1967,Barisal Chest Disease Hospital,বরিশাল বক্ষব্যাধি হাসপাতাল,10001976,barisal@tbsh.dghs.gov.bd,DGHS,Chest Disease Hospital,Barishal,বরিশাল,Barishal,বরিশাল,Barishal City Corporation,,Barishal Sadar,,,,No
1961,Sayestabad Union Health Sub Center,সায়েস্তাবাদ ইউনিয়ন উপ-স্বাস্থ্য কেন্দ্র,10001970,sayestabad@usc.dghs.gov.bd,DGHS,Union Health Sub Center,Barishal,বরিশাল,Barishal,বরিশাল,Barishal City Corporation,,Barishal Sadar,,Unions Of Barisal Sadar (kotwali) Upazila,Shayestabad,No
1966,Barishal Chest Disease Clinic,বরিশাল বক্ষব্যাধি ক্লিনিক,10001975,barishalcdc@tc.dghs.gov.bd,DGHS,Chest Disease Clinic,Barishal,বরিশাল,Barishal,বরিশাল,Barishal City Corporation,,Barishal Sadar,,,,No
1939,Agailjhara Upazila Health Complex,আগৈলঝাড়া উপজেলা স্বাস্থ্য কমপ্লেক্স,10001948,agailjhara@uhfpo.dghs.gov.bd,DGHS,Upazila Health Complex,Barishal,বরিশাল,Barishal,বরিশাল,Barishal N/A,,Agailjhara,,Unions Of Agailjhara Upazila,Gaila,No
1940,Paisarhat(bakal) Union Health Sub Center,পয়সারহাট(বাকল) ইউনিয়ন উপ-স্বাস্থ্য কেন্দ্র,10001949,paisarhat_bakal@usc.dghs.gov.bd,DGHS,Union Health Sub Center,Barishal,বরিশাল,Barishal,বরিশাল,Barishal N/A,,Agailjhara,,Unions Of Agailjhara Upazila,Bakal,No
1941,Ratnapur Union Health Sub Center,রত্নাপুর ইউনিয়ন উপ-স্বাস্থ্য কেন্দ্র,10001950,ratnapur@usc.dghs.gov.bd,DGHS,Union Health Sub Center,Barishal,বরিশাল,Barishal,বরিশাল,Barishal N/A,,Agailjhara,,Unions Of Agailjhara Upazila,Ratnapur,No
1946,Babuganj Upazila Health Complex,বাবুগঞ্জ উপজেলা স্বাস্থ্য কমপ্লেক্স,10001955,babuganj@uhfpo.dghs.gov.bd,DGHS,Upazila Health Complex,Barishal,বরিশাল,Barishal,বরিশাল,Barishal N/A,,Babuganj,,Unions Of Babuganj Upazila,Dehergati,No
1942,Agarpur Union Health Sub Center,আগরপুর ইউনিয়ন উপ-স্বাস্থ্য কেন্দ্র,10001951,agarpur@usc.dghs.gov.bd,DGHS,Union Health Sub Center,Barishal,বরিশাল,Barishal,বরিশাল,Barishal N/A,,Babuganj,,Unions Of Babuganj Upazila,Jahangir Nagar(agarpur),No
1943,Dehergati Union Health Sub Center,দেহেরগাতি ইউনিয়ন উপ-স্বাস্থ্য কেন্দ্র,10001952,dehergati@usc.dghs.gov.bd,DGHS,Union Health Sub Center,Barishal,বরিশাল,Barishal,বরিশাল,Barishal N/A,,Babuganj,,Unions Of Babuganj Upazila,Dehergati,No
1944,Madhabpasha Union Health Sub Center,মাধবপাশা ইউনিয়ন উপ-স্বাস্থ্য কেন্দ্র,10001953,madhabpasha@usc.dghs.gov.bd,DGHS,Union Health Sub Center,Barishal,বরিশাল,Barishal,বরিশাল,Barishal N/A,,Babuganj,,Unions Of Babuganj Upazila,Madhab Pasha,No
